relative_position,layer,accuracy,f1
0.1,5,0.425,0.25806451612903225
0.1,6,0.425,0.25806451612903225
0.1,7,0.425,0.25806451612903225
0.1,8,0.425,0.25806451612903225
0.1,9,0.425,0.25806451612903225
0.1,10,0.425,0.25806451612903225
0.1,11,0.425,0.25806451612903225
0.1,12,0.425,0.25806451612903225
0.1,13,0.425,0.25806451612903225
0.1,14,0.425,0.25806451612903225
0.1,15,0.425,0.25806451612903225
0.1,16,0.425,0.25806451612903225
0.1,17,0.425,0.25806451612903225
0.1,18,0.425,0.25806451612903225
0.1,19,0.425,0.25806451612903225
0.1,20,0.425,0.25806451612903225
0.1,21,0.425,0.25806451612903225
0.1,22,0.425,0.25806451612903225
0.1,23,0.425,0.25806451612903225
0.1,24,0.425,0.25806451612903225
0.9,0,0.5,0.0
0.9,1,0.65,0.65
0.9,2,0.625,0.6511627906976745
0.9,3,0.675,0.6285714285714286
0.9,4,0.75,0.7368421052631579
0.9,5,0.8,0.7777777777777778
0.9,6,0.825,0.8205128205128205
0.9,7,0.775,0.7804878048780488
0.9,8,0.775,0.7692307692307693
0.9,9,0.925,0.926829268292683
0.9,10,0.95,0.9523809523809523
0.9,11,0.925,0.926829268292683
0.9,12,0.9,0.9090909090909091
0.9,13,0.9,0.9047619047619048
0.9,14,0.875,0.8780487804878049
0.9,15,0.875,0.8780487804878049
0.9,16,0.875,0.8780487804878049
0.9,17,0.85,0.85
0.9,18,0.85,0.85
0.9,19,0.875,0.8780487804878049
0.9,20,0.85,0.8571428571428571
0.9,21,0.875,0.8837209302325582
0.9,22,0.875,0.8837209302325582
0.9,23,0.875,0.8837209302325582
0.9,24,0.875,0.8780487804878049
0.6,0,0.675,0.7111111111111111
0.6,1,0.7,0.7272727272727273
0.6,2,0.7,0.7272727272727273
0.6,3,0.7,0.7272727272727273
0.6,4,0.725,0.7441860465116279
0.6,5,0.725,0.7441860465116279
0.6,6,0.7,0.7272727272727273
0.6,7,0.7,0.7272727272727273
0.6,8,0.7,0.7272727272727273
0.6,9,0.675,0.7111111111111111
0.6,10,0.725,0.7441860465116279
0.6,11,0.7,0.7272727272727273
0.6,12,0.7,0.7272727272727273
0.6,13,0.7,0.7272727272727273
0.6,14,0.7,0.7272727272727273
0.6,15,0.7,0.7272727272727273
0.6,16,0.7,0.7272727272727273
0.6,17,0.7,0.7272727272727273
0.6,18,0.725,0.7441860465116279
0.6,19,0.725,0.7441860465116279
0.6,20,0.725,0.7441860465116279
0.6,21,0.725,0.7441860465116279
0.6,22,0.725,0.7441860465116279
0.6,23,0.7,0.7272727272727273
0.6,24,0.725,0.7441860465116279
0.35,0,0.4,0.2
0.35,1,0.425,0.20689655172413793
0.35,2,0.425,0.20689655172413793
0.35,3,0.425,0.20689655172413793
0.35,4,0.425,0.20689655172413793
0.35,5,0.425,0.20689655172413793
0.35,6,0.425,0.20689655172413793
0.35,7,0.425,0.20689655172413793
0.35,8,0.425,0.20689655172413793
0.35,9,0.425,0.20689655172413793
0.35,10,0.425,0.20689655172413793
0.35,11,0.425,0.20689655172413793
0.35,12,0.425,0.20689655172413793
0.35,13,0.425,0.20689655172413793
0.35,14,0.425,0.20689655172413793
0.35,15,0.425,0.20689655172413793
0.35,16,0.425,0.20689655172413793
0.35,17,0.425,0.20689655172413793
0.35,18,0.425,0.20689655172413793
0.35,19,0.425,0.20689655172413793
0.35,20,0.425,0.20689655172413793
0.35,21,0.425,0.20689655172413793
0.35,22,0.425,0.20689655172413793
0.35,23,0.425,0.20689655172413793
0.35,24,0.425,0.20689655172413793
